t;e;i;d;set
8.841000000000001;381.0;0.5;-1.0;0
8.844000000000001;380.0;0.5;-1.0;0
8.847000000000001;379.0;0.5;-1.0;0
8.85;379.0;0.5;-1.0;0
8.853;378.0;0.5;-1.0;0
8.856;378.0;0.5;-1.0;0
8.859;377.0;0.5;-1.0;0
8.862;377.0;0.5;-1.0;0
8.865;376.0;0.5;-1.0;0
8.868;376.0;0.5;-1.0;0
8.871;376.0;0.5;-1.0;0
8.874;375.0;0.5;-1.0;0
8.877;375.0;0.5;0.0;0
8.88;375.0;0.5;0.0;0
8.883000000000001;375.0;0.5;0.0;0
8.886000000000001;375.0;0.5;0.0;0
8.889000000000001;375.0;0.5;0.0;0
8.892000000000001;375.0;0.5;0.0;0
8.895;375.0;0.5;0.0;0
8.898;375.0;0.5;0.0;0
8.901;375.0;0.5;0.0;0
8.904;375.0;0.5;0.0;0
8.907;375.0;0.5;0.0;0
8.91;376.0;0.5;1.0;0
8.913;376.0;0.5;1.0;0
8.916;376.0;0.5;1.0;0
8.919;376.0;0.5;1.0;0
8.922;377.0;0.5;1.0;0
8.925;377.0;0.5;1.0;0
8.928;378.0;0.5;1.0;0
8.931000000000001;378.0;0.5;1.0;0
8.934000000000001;379.0;0.5;1.0;0
8.937000000000001;379.0;0.5;1.0;0
8.940000000000001;380.0;0.5;1.0;0
8.943;381.0;0.5;1.0;0
8.946;381.0;0.5;1.0;0
8.949;382.0;0.5;1.0;0
8.952;383.0;0.5;1.0;0
8.955;383.0;0.5;1.0;0
8.958;384.0;0.5;1.0;0
8.961;385.0;0.5;1.0;0
8.964;386.0;0.5;1.0;0
8.967;387.0;0.5;1.0;0
8.97;388.0;0.5;1.0;0
8.973;388.0;0.5;1.0;0
8.976;389.0;0.5;1.0;0
8.979000000000001;390.0;0.5;1.0;0
8.982000000000001;391.0;0.5;1.0;0
8.985000000000001;392.0;0.5;1.0;0
8.988;393.0;0.5;1.0;0
8.991;394.0;0.5;1.0;0
8.994;395.0;0.5;1.0;0
8.997;396.0;0.5;1.0;0
9.0;397.0;0.5;1.0;0
9.003;398.0;0.5;1.0;0
9.006;399.0;0.5;1.0;0
9.009;-400.0;-0.5;1.0;0
9.012;-399.0;-0.5;1.0;0
9.015;-398.0;-0.5;1.0;0
9.018;-397.0;-0.5;1.0;0
9.021;-396.0;-0.5;1.0;0
9.024000000000001;-395.0;-0.5;1.0;0
9.027000000000001;-394.0;-0.5;1.0;0
9.030000000000001;-393.0;-0.5;1.0;0
9.033000000000001;-392.0;-0.5;1.0;0
9.036;-391.0;-0.5;1.0;0
9.039;-390.0;-0.5;1.0;0
9.042;-390.0;-0.5;0.0;0
9.045;-389.0;-0.5;0.0;0
9.048;-388.0;-0.5;0.0;0
9.051;-387.0;-0.5;0.0;0
9.054;-386.0;-0.5;0.0;0
9.057;-386.0;-0.5;0.0;0
9.06;-385.0;-0.5;0.0;0
9.063;-384.0;-0.5;0.0;0
9.066;-383.0;-0.5;0.0;0
9.069;-383.0;-0.5;0.0;0
9.072000000000001;-382.0;-0.5;0.0;0
9.075000000000001;-382.0;-0.5;0.0;0
9.078000000000001;-381.0;-0.5;0.0;0
9.081000000000001;-380.0;-0.5;0.0;0
9.084;-380.0;-0.5;0.0;0
9.087;-379.0;-0.5;0.0;0
9.09;-379.0;-0.5;0.0;0
9.093;-379.0;-0.5;0.0;0
9.096;-378.0;-0.5;0.0;0
9.099;-378.0;-0.5;0.0;0
9.102;-378.0;-0.5;0.0;0
9.105;-377.0;-0.5;0.0;0
9.108;-377.0;-0.5;0.0;0
9.111;-377.0;-0.5;0.0;0
9.114;-377.0;-0.5;0.0;0
9.117;-377.0;-0.5;0.0;0
9.120000000000001;-377.0;-0.5;0.0;0
9.123000000000001;-377.0;-0.5;0.0;0
9.126000000000001;-377.0;-0.5;0.0;0
9.129;-377.0;-0.5;0.0;0
9.132;-377.0;-0.5;0.0;0
9.135;-377.0;-0.5;0.0;0
9.138;-377.0;-0.5;0.0;0
9.141;-378.0;-0.5;-1.0;0
9.144;-378.0;-0.5;-1.0;0
9.147;-378.0;-0.5;-1.0;0
9.15;-378.0;-0.5;-1.0;0
9.153;-379.0;-0.5;-1.0;0
9.156;-379.0;-0.5;-1.0;0
9.159;-380.0;-0.5;-1.0;0
9.162;-380.0;-0.5;-1.0;0
9.165000000000001;-381.0;-0.5;-1.0;0
9.168000000000001;-381.0;-0.5;-1.0;0
9.171000000000001;-382.0;-0.5;-1.0;0
9.174000000000001;-382.0;-0.5;0.0;0
9.177;-383.0;-0.5;0.0;0
9.18;-384.0;-0.5;0.0;0
9.183;-384.0;-0.5;0.0;0
9.186;-385.0;-0.5;0.0;0
9.189;-386.0;-0.5;0.0;0
9.192;-386.0;-0.5;0.0;0
9.195;-387.0;-0.5;0.0;0
9.198;-388.0;-0.5;0.0;0
9.201;-389.0;-0.5;0.0;0
9.204;-389.0;-0.5;0.0;0
9.207;-390.0;-0.5;-1.0;0
9.21;-391.0;-0.5;-1.0;0
9.213000000000001;-392.0;-0.5;-1.0;0
9.216000000000001;-393.0;-0.5;-1.0;0
9.219000000000001;-394.0;-0.5;-1.0;0
9.222000000000001;-395.0;-0.5;-1.0;0
9.225;-396.0;-0.5;-1.0;0
9.228;-396.0;-0.5;-1.0;0
9.231;-397.0;-0.5;-1.0;0
9.234;-398.0;-0.5;-1.0;0
9.237;-399.0;-0.5;-1.0;0
9.24;-400.0;-0.5;-1.0;0
9.243;399.0;0.5;-1.0;0
9.246;398.0;0.5;-1.0;0
9.249;397.0;0.5;-1.0;0
9.252;396.0;0.5;-1.0;0
9.255;395.0;0.5;-1.0;0
9.258000000000001;395.0;0.5;-1.0;0
9.261000000000001;394.0;0.5;-1.0;0
9.264000000000001;393.0;0.5;-1.0;0
9.267000000000001;392.0;0.5;-1.0;0
9.27;391.0;0.5;-1.0;0
9.273;390.0;0.5;-1.0;0
9.276;390.0;0.5;-1.0;0
9.279;389.0;0.5;-1.0;0
9.282;388.0;0.5;-1.0;0
9.285;387.0;0.5;-1.0;0
9.288;387.0;0.5;-1.0;0
9.291;386.0;0.5;-1.0;0
9.294;385.0;0.5;-1.0;0
9.297;385.0;0.5;-1.0;0
9.3;384.0;0.5;-1.0;0
9.303;384.0;0.5;-1.0;0
9.306000000000001;383.0;0.5;-1.0;0
9.309000000000001;383.0;0.5;-1.0;0
9.312000000000001;382.0;0.5;-1.0;0
9.315000000000001;382.0;0.5;-1.0;0
9.318;381.0;0.5;-1.0;0
9.321;381.0;0.5;-1.0;0
9.324;380.0;0.5;-1.0;0
9.327;380.0;0.5;-1.0;0
9.33;380.0;0.5;-1.0;0
9.333;380.0;0.5;-1.0;0
9.336;379.0;0.5;-1.0;0
9.339;379.0;0.5;0.0;0
9.342;379.0;0.5;0.0;0
9.345;379.0;0.5;0.0;0
9.348;379.0;0.5;0.0;0
9.351;379.0;0.5;0.0;0
9.354000000000001;379.0;0.5;0.0;0
9.357000000000001;379.0;0.5;0.0;0
9.360000000000001;379.0;0.5;0.0;0
9.363000000000001;379.0;0.5;0.0;0
9.366;379.0;0.5;0.0;0
9.369;379.0;0.5;0.0;0
9.372;380.0;0.5;1.0;0
9.375;380.0;0.5;1.0;0
9.378;380.0;0.5;1.0;0
9.381;380.0;0.5;1.0;0
9.384;381.0;0.5;1.0;0
9.387;381.0;0.5;1.0;0
9.39;381.0;0.5;1.0;0
9.393;382.0;0.5;1.0;0
9.396;382.0;0.5;1.0;0
9.399000000000001;383.0;0.5;1.0;0
9.402000000000001;383.0;0.5;1.0;0
9.405000000000001;384.0;0.5;1.0;0
9.408000000000001;384.0;0.5;1.0;0
9.411;385.0;0.5;1.0;0
9.414;386.0;0.5;1.0;0
9.417;386.0;0.5;1.0;0
9.42;387.0;0.5;1.0;0
9.423;388.0;0.5;1.0;0
9.426;388.0;0.5;1.0;0
9.429;389.0;0.5;1.0;0
9.432;390.0;0.5;1.0;0
9.435;390.0;0.5;1.0;0
9.438;391.0;0.5;1.0;0
9.441;392.0;0.5;1.0;0
9.444;393.0;0.5;1.0;0
9.447000000000001;394.0;0.5;1.0;0
