tiempo;error;integral;derivada
16866;-3;-10000;-162
16872;-3;-10000;-346
16878;-3;-10000;-346
16884;-3;-10000;-113
16890;-2;-10000;-100
16896;-2;-10000;-140
16905;-2;-10000;-140
16911;-1;-10000;-140
16917;-1;-10000;-140
16923;-1;-10000;-273
16929;-1;-10000;-273
16935;0;-10000;-273
16941;0;-10000;-187
16947;0;-10000;-187
16953;1;-10000;-187
16959;1;-10000;-187
16965;1;-10000;-270
16971;1;-10000;-270
17004;2;-10000;-130
17010;3;-10000;-130
17016;3;-10000;-130
17022;3;-10000;-305
17028;3;-10000;-305
17034;3;-10000;-305
17040;4;-10000;-167
17046;4;-10000;-167
17052;4;-10000;-167
17058;4;-10000;-167
17109;5;-10000;-73
17115;5;-10000;-67
17121;5;-10000;-62
17127;5;-10000;-58
17133;5;-10000;-54
17139;5;-10000;-51
17145;5;-10000;-48
17151;5;-10000;-46
17157;5;-10000;-43
17163;5;-10000;-41
17169;5;-10000;-39
17175;5;-10000;-37
17181;5;-10000;-36
17187;5;-10000;-34
17193;5;-10000;-33
17199;5;-10000;-32
17205;5;-10000;-31
17211;5;-10000;-30
17217;5;-10000;-29
17223;5;-10000;-28
17229;5;-10000;-27
17235;5;-10000;-26
17241;5;-10000;-25
17247;4;-10000;28
17253;4;-10000;28
17259;4;-10000;28
17265;4;-10000;28
17271;3;-10000;28
17277;3;-10000;200
17283;3;-10000;200
17289;3;-10000;200
17295;3;-10000;200
17301;3;-10000;89
17307;2;-10000;81
17313;2;-10000;133
17319;2;-10000;133
17325;2;-10000;133
17331;2;-10000;133
17337;1;-10000;133
17343;1;-10000;208
17349;1;-10000;208
17355;1;-10000;208
17361;1;-10000;208
17367;1;-10000;88
17373;1;-10000;80
17379;0;-10000;109
17385;0;-10000;109
17391;0;-10000;109
17397;-1;-10000;109
17403;-1;-10000;109
17409;-1;-10000;236
17415;-1;-10000;236
17421;-1;-10000;236
17427;-2;-10000;157
17433;-2;-10000;157
17439;-2;-10000;157
17445;-2;-10000;157
17451;-2;-10000;157
17457;-2;-10000;157
17463;-3;-10000;162
17469;-3;-10000;162
17475;-3;-10000;162
17481;-3;-10000;162
17487;-3;-10000;162
17493;-3;-10000;78
17499;-3;-10000;72
17505;-3;-10000;66
17511;-3;-10000;61
17517;-3;-10000;57
17523;-3;-10000;54
17529;-3;-10000;50
17535;-3;-10000;48
17541;-3;-10000;45
17547;-3;-10000;43
17553;-3;-10000;41
17559;-4;-10000;39
17565;-4;-10000;50
17571;-4;-10000;50
17577;-4;-10000;50
17583;-4;-10000;50
17589;-4;-10000;50
17595;-4;-10000;38
17601;-4;-10000;36
17607;-3;-10000;35
17613;-3;-10000;-108
17619;-3;-10000;-108
17625;-3;-10000;-108
17631;-3;-10000;-108
17637;-3;-10000;-108
17643;-3;-10000;-64
17649;-3;-10000;-59
17655;-3;-10000;-55
17661;-3;-10000;-52
17667;-3;-10000;-49
17673;-3;-10000;-46
17679;-3;-10000;-44
17685;-3;-10000;-42
17691;-3;-10000;-40
17697;-3;-10000;-38
17703;-3;-10000;-36
17709;-3;-10000;-35
17715;-3;-10000;-33
17721;-3;-10000;-32
17727;-3;-10000;-31
17733;-3;-10000;-30
17739;-2;-10000;-41
17745;-2;-10000;-41
17751;-2;-10000;-41
17757;-2;-10000;-41
17763;-2;-10000;-41
17769;-2;-10000;-32
17775;-2;-10000;-31
17781;-1;-10000;-30
17787;-1;-10000;-110
17793;-1;-10000;-110
17799;-1;-10000;-110
17805;-1;-10000;-110
17811;-1;-10000;-110
17817;-1;-10000;-64
17823;-1;-10000;-59
17829;-1;-10000;-55
17835;0;-10000;-52
17841;0;-10000;-84
17847;0;-10000;-84
17853;0;-10000;-84
17859;0;-10000;-84
17865;0;-10000;-84
17892;1;-10000;-109
17898;1;-10000;-109
17904;1;-10000;-109
17910;1;-10000;-62
17916;1;-10000;-57
17922;1;-10000;-53
17928;1;-10000;-50
17934;1;-10000;-46
17940;1;-10000;-44
17946;1;-10000;-41
17952;1;-10000;-39
17958;1;-10000;-37
17964;1;-10000;-35
17970;1;-10000;-34
17976;1;-10000;-32
17982;1;-10000;-31
17988;1;-10000;-30
17994;1;-10000;-29
18000;1;-10000;-28
18006;1;-10000;-27
18012;1;-10000;-26
18018;1;-10000;-25
18024;1;-10000;-24
18030;1;-10000;-23
18036;1;-10000;-23
18042;1;-10000;-22
18048;1;-10000;-21
18054;1;-10000;-21
18060;1;-10000;-20
18066;1;-10000;-20
18072;1;-10000;-19
18078;1;-10000;-19
18084;1;-10000;-18
18090;1;-10000;-18
18096;1;-10000;-17
18102;1;-10000;-17
18108;1;-10000;-16
18114;1;-10000;-16
18144;1;-10000;-14
18150;1;-10000;-14
18156;1;-10000;-14
18162;1;-10000;-14
18168;1;-10000;-13
18174;1;-10000;-13
18180;1;-10000;-13
18186;1;-10000;-13
18192;1;-10000;-12
18198;1;-10000;-12
18204;1;-10000;-12
18210;1;-10000;-12
18216;1;-10000;-12
18222;1;-10000;-11
18228;1;-10000;-11
18234;1;-10000;-11
18240;0;-10000;-11
18246;0;-10000;12
18252;0;-10000;12
18258;0;-10000;12
18264;0;-10000;12
18270;0;-10000;12
18276;0;-10000;11
18282;0;-10000;11
18288;0;-10000;11
18294;0;-10000;11
18300;0;-10000;10
18306;-1;-10000;72
18315;-1;-10000;72
18321;-1;-10000;72
18327;-1;-10000;72
18333;-1;-10000;72
18339;-1;-10000;46
18414;-1;-10000;26
18420;-1;-10000;25
18426;-1;-10000;24
18432;-1;-10000;23
18438;-1;-10000;22
18444;-1;-10000;22
18450;-1;-10000;21
18456;-1;-10000;21
18462;-1;-10000;20
18468;-1;-10000;19
18474;-1;-10000;19
18480;-1;-10000;18
18486;-1;-10000;18
18492;-1;-10000;18
18498;-1;-10000;17
18504;-1;-10000;17
18510;-1;-10000;16
18516;-1;-10000;16
18522;-1;-10000;16
18528;-1;-10000;15
18534;-1;-10000;15
18540;-1;-10000;15
18546;-1;-10000;14
18552;-1;-10000;14
18558;-1;-10000;14
18564;-1;-10000;13
18570;-1;-10000;13
18576;-1;-10000;13
18582;-1;-10000;13
18588;-1;-10000;13
18594;-1;-10000;12
18600;-1;-10000;12
18606;-1;-10000;12
18612;-1;-10000;12
18618;-1;-10000;11
18624;-1;-10000;11
18630;-1;-10000;11
18636;-1;-10000;11
18642;-1;-10000;11
18648;-1;-10000;11
18654;-1;-10000;10
18660;-1;-10000;10
18666;-1;-10000;10
18672;-1;-10000;10
18678;-1;-10000;10
18684;-1;-10000;10
18690;-1;-10000;10
18696;-1;-10000;9
18702;-1;-10000;9
18708;-1;-10000;9
18714;-1;-10000;9
18720;-1;-10000;9
18726;-1;-10000;9
18732;-1;-10000;9
18738;-1;-10000;9
18744;-1;-10000;8
18750;-1;-10000;8
18756;-1;-10000;8
18762;-1;-10000;8
18768;-1;-10000;8
18774;-1;-10000;8
18780;-1;-10000;8
18786;-1;-10000;8
18792;-1;-10000;8
18798;-1;-10000;8
18804;-1;-10000;8
18810;-1;-10000;7
18816;-1;-10000;7
18822;-1;-10000;7
18828;-1;-10000;7
18834;-1;-10000;7
18840;-1;-10000;7
18846;-1;-10000;7
18852;-1;-10000;7
18858;-1;-10000;7
18864;-1;-10000;7
18870;-1;-10000;7
18876;-1;-10000;7
18882;-1;-10000;7
18888;-1;-10000;6
18894;-1;-10000;6
18900;-1;-10000;6
18906;-1;-10000;6
18912;-1;-10000;6
18918;-1;-10000;6
18924;-1;-10000;6
18930;-1;-10000;6
18936;-1;-10000;6
18942;-1;-10000;6
18948;-1;-10000;6
18954;-1;-10000;6
18960;-1;-10000;6
18966;-1;-10000;6
18972;-1;-10000;6
18978;-1;-10000;6
18984;-1;-10000;6
18990;-1;-10000;6
18996;-1;-10000;5
19002;-1;-10000;5
19008;-1;-10000;5
19014;-1;-10000;5
19020;-1;-10000;5
19026;-1;-10000;5
19032;-1;-10000;5
19038;-1;-10000;5
19044;-1;-10000;5
19050;-1;-10000;5
19056;-1;-10000;5
19062;-1;-10000;5
19068;-1;-10000;5
19074;-1;-10000;5
19080;-1;-10000;5
19086;-1;-10000;5
19092;-1;-10000;5
19098;-1;-10000;5
19104;-1;-10000;5
19110;-1;-10000;5
19161;-1;-10000;4
19167;-1;-10000;4
19173;-1;-10000;4
19179;-1;-10000;4
19185;-1;-10000;4
19191;-1;-10000;4
19197;-1;-10000;4
19203;-1;-10000;4
19209;-1;-10000;4
19236;-1;-10000;4
19242;-1;-10000;4
19248;-1;-10000;4
19254;-1;-10000;4
19260;-1;-10000;4
19266;-1;-10000;4
19272;-1;-10000;4
19278;-1;-10000;4
19284;-1;-10000;4
19290;-1;-10000;4
19296;-1;-10000;4
19302;-1;-10000;4
19308;-1;-10000;4
19341;-1;-10000;4
19347;-1;-10000;4
19353;-1;-10000;4
19359;-1;-10000;4
19365;-1;-10000;4
19371;-1;-10000;3
19377;-1;-10000;3
19383;-1;-10000;3
19389;-1;-10000;3
19395;-1;-10000;3
19401;-1;-10000;3
19407;-1;-10000;3
19413;-1;-10000;3
19419;-1;-10000;3
19425;-1;-10000;3
19431;-1;-10000;3
19437;-1;-10000;3
19443;-1;-10000;3
19449;-1;-10000;3
19455;-1;-10000;3
19461;-1;-10000;3
19467;-1;-10000;3
19473;-1;-10000;3
19479;-1;-10000;3
19485;-1;-10000;3
19491;-1;-10000;3
19497;-1;-10000;3
19503;-1;-10000;3
19509;-1;-10000;3
19515;-1;-10000;3
19521;-1;-10000;3
19527;-1;-10000;3
19533;-1;-10000;3
19539;-1;-10000;3
19545;-1;-10000;3
19551;-1;-10000;3
19557;-1;-10000;3
19563;-1;-10000;3
19569;-1;-10000;3
19575;-1;-10000;3
19581;-1;-10000;3
19587;-1;-10000;3
19593;-1;-10000;3
19599;-1;-10000;3
19605;-1;-10000;3
19611;-1;-10000;3
19617;-1;-10000;3
19623;-1;-10000;3
19629;-1;-10000;3
19635;-1;-10000;3
19641;-1;-10000;3
19647;-1;-10000;3
19653;-1;-10000;3
19659;-1;-10000;3
19665;-1;-10000;3
19671;-1;-10000;3
19677;-1;-10000;3
19683;-1;-10000;3
19689;-1;-10000;3
19695;-1;-10000;3
19701;-1;-10000;3
19707;-1;-10000;3
19713;-1;-10000;3
19719;-1;-10000;3
19725;-1;-10000;3
19731;-1;-10000;3
19737;-1;-10000;3
19743;-1;-10000;2
19749;-1;-10000;2
19755;-1;-10000;2
19761;-1;-10000;2
19767;-1;-10000;2
19773;-1;-10000;2
19779;-1;-10000;2
19785;-1;-10000;2
19791;-1;-10000;2
19797;-1;-10000;2
19803;-1;-10000;2
19809;-1;-10000;2
19815;-1;-10000;2
19821;-1;-10000;2
19827;-1;-10000;2
19833;-1;-10000;2
19839;-1;-10000;2
19845;-1;-10000;2
19851;-1;-10000;2
19857;-1;-10000;2
19863;-1;-10000;2
19869;-1;-10000;2
19875;-1;-10000;2
19881;-1;-10000;2
19887;-1;-10000;2
19893;-1;-10000;2
19899;-1;-10000;2
19905;-1;-10000;2
19911;-1;-10000;2
19917;-1;-10000;2
19923;-1;-10000;2
19929;-1;-10000;2
19935;-1;-10000;2
19941;-1;-10000;2
19947;-1;-10000;2
19953;-1;-10000;2
19959;-1;-10000;2
19965;-1;-10000;2
19971;-1;-10000;2
19977;-1;-10000;2
19983;-1;-10000;2
19989;-1;-10000;2
19995;-1;-10000;2
20001;-1;-10000;2
20007;-1;-10000;2
20013;-1;-10000;2
20019;-1;-10000;2
20025;-1;-10000;2
20031;-1;-10000;2
20037;-1;-10000;2
20043;-1;-10000;2
20049;-1;-10000;2
20055;-1;-10000;2
20061;-1;-10000;2
20067;-1;-10000;2
20073;-1;-10000;2
20079;-1;-10000;2
20085;-1;-10000;2
20091;-1;-10000;2
20097;-1;-10000;2
20103;-1;-10000;2
20109;-1;-10000;2
20115;-1;-10000;2
