tiempo;error;tiempoDev;derivada
50624;-7;1318;0
50674;0;1308;0
50724;15;11;72
50774;54;3;233
50824;101;2;350
50874;148;4;200
50924;202;3;233
50974;256;2;400
51024;316;2;350
51074;368;4;200
51124;432;1;700
51174;502;1;700
51224;555;2;300
51274;606;4;150
51324;655;2;300
51374;701;2;300
51424;723;6;83
51474;750;7;85
51524;775;2;250
51574;799;4;125
51624;827;4;125
51674;856;3;133
51724;887;3;133
51774;908;5;80
51824;923;7;42
51874;929;16;18
51924;929;32;9
51974;932;38;7
52024;938;16;18
52074;943;11;27
52124;953;6;33
52174;962;2;100
52224;970;3;66
52274;974;10;20
52324;974;27;7
52374;974;43;4
52424;975;54;1
52474;975;71;1
52524;977;33;6
52574;979;30;6
52624;980;21;4
52674;983;15;6
52724;985;25;8
52774;985;42;4
52824;986;43;2
52874;986;60;1
52924;987;40;2
52974;988;25;4
53024;988;42;2
53074;990;43;4
53124;988;24;-8
53174;985;7;-14
53224;970;1;-200
53274;926;1;-600
53324;804;1;-1400
53374;568;1;-1300
53424;187;1;-2300
53474;-210;1;-2300
53524;-568;1;-1900
53574;-809;1;-1000
53624;-914;1;-300
53674;-955;3;-66
53724;-958;9;22
53774;-917;1;300
53824;-813;1;900
53874;-619;1;1200
53924;-286;1;1500
53974;117;1;2300
54024;460;1;2100
54074;723;1;1100
54124;864;2;400
54174;923;2;150
54224;932;13;23
54274;894;1;-700
54324;804;1;-900
54374;606;1;-1300
54424;286;1;-1500
54474;-70;1;-2300
54524;-425;1;-2100
54574;-690;1;-1200
54624;-835;1;-400
54674;-904;1;-300
54724;-914;14;-21
54774;-872;1;400
54824;-775;1;1000
54874;-568;1;2600
54924;-278;1;1600
54974;70;1;2300
55024;411;1;2200
55074;649;1;1200
55124;804;1;1000
55174;872;2;200
55224;880;8;-37
55274;844;2;-200
55324;728;1;-600
55374;535;1;-2000
55424;241;1;-1500
55474;-109;1;-2300
55524;-411;1;-1400
55574;-655;1;-1200
55624;-794;1;-400
55674;-856;2;-200
55724;-860;10;40
55774;-804;2;250
55824;-690;1;1100
55874;-474;1;1400
55924;-179;1;2300
55974;148;1;1500
56024;432;1;1400
56074;655;1;1200
56124;775;1;500
56174;827;3;166
56224;818;3;-133
56274;755;1;-500
56324;619;1;-600
56374;382;1;-1500
56424;86;1;-1500
56474;-210;1;-1500
56524;-481;1;-1400
56574;-661;1;-1200
56624;-765;3;-333
56674;-804;7;-71
56724;-785;3;166
56774;-695;1;1200
56824;-529;1;1300
56874;-301;1;1500
56924;-15;1;2400
56974;271;1;1500
57024;495;1;700
57074;667;1;600
57124;744;2;250
57174;760;7;-71
