tiempo;angulo;integral;derivada
23004;-13;-50;0
23010;-14;-50;0
23016;-15;-50;0
23022;-15;-50;0
23028;-16;-50;0
23034;-17;-50;0
23040;-17;-50;0
23046;-18;-50;0
23052;-19;-50;0
23058;-19;-50;0
23064;-19;-50;0
23070;-20;-50;0
23076;-20;-50;0
23082;-20;-50;0
23088;-21;-50;0
23100;-21;-50;0
23109;-22;-50;0
23115;-22;-50;0
23121;-22;-50;0
23127;-22;-50;0
23133;-22;-50;0
23139;-22;-50;0
23145;-22;-50;0
23154;-22;-50;0
23160;-22;-50;0
23166;-22;-50;0
23172;-22;-50;0
23178;-22;-50;0
23184;-21;-50;0
23190;-21;-50;0
23199;-21;-50;0
23205;-20;-50;0
23211;-20;-50;0
23217;-20;-50;0
23223;-19;-50;0
23229;-19;-50;0
23235;-19;-50;0
23238;-18;-50;0
23244;-18;-50;0
23250;-17;-50;0
23256;-17;-50;0
23262;-16;-50;0
23268;-15;-50;0
23274;-15;-50;0
23280;-14;-50;0
23289;-13;-50;0
23295;-12;-50;0
23301;-11;-50;0
23307;-10;-50;0
23313;-9;-50;0
23322;-8;-50;0
23328;-7;-50;0
23334;-7;-50;0
23340;-6;-50;0
23346;-5;-50;0
23352;-4;-50;0
23358;-3;-50;0
23367;-2;-50;0
23373;-1;-50;0
23379;-1;-50;0
23385;1;-50;0
23391;1;-36;0
23397;2;-22;0
23403;3;16;0
23412;4;50;0
23418;5;50;0
23424;6;50;0
23427;6;50;0
23433;7;50;0
23439;7;50;0
23445;9;50;0
23451;9;50;0
23457;10;50;0
23463;10;50;0
23469;11;50;0
23472;11;50;0
23478;12;50;0
23484;13;50;0
23490;13;50;0
23496;14;50;0
23502;15;50;0
23508;15;50;0
23514;15;50;0
23523;16;50;0
23529;17;50;0
23535;17;50;0
23541;17;50;0
23547;17;50;0
23553;18;50;0
23559;18;50;0
23568;18;50;0
23574;18;50;0
23580;19;50;0
23586;19;50;0
23592;19;50;0
23598;19;50;0
23604;19;50;0
23613;19;50;0
23619;19;50;0
23625;19;50;0
23631;19;50;0
23637;18;50;0
23646;18;50;0
23652;18;50;0
23658;17;50;0
23664;17;50;0
23670;17;50;0
23676;17;50;0
23682;16;50;0
23688;16;50;0
23694;15;50;0
23697;15;50;0
23703;15;50;0
23709;14;50;0
23715;14;50;0
23721;13;50;0
23727;13;50;0
23736;12;50;0
23742;11;50;0
23748;11;50;0
23754;10;50;0
23760;9;50;0
23769;8;50;0
23775;7;50;0
23781;7;50;0
23787;6;50;0
23793;5;50;0
23799;5;50;0
23805;4;50;0
23811;3;50;0
23817;3;50;0
23820;2;50;0
23826;1;50;0
23838;0;50;0
23844;-1;43;0
23850;-1;29;0
23859;-3;-16;0
23865;-3;-50;0
23871;-4;-50;0
23877;-5;-50;0
23883;-5;-50;0
23889;-6;-50;0
23895;-7;-50;0
23904;-7;-50;0
23910;-8;-50;0
23916;-9;-50;0
23922;-9;-50;0
23928;-10;-50;0
23934;-11;-50;0
23940;-11;-50;0
23946;-11;-50;0
23952;-12;-50;0
23961;-13;-50;0
23967;-13;-50;0
23973;-14;-50;0
23979;-14;-50;0
23985;-15;-50;0
23991;-15;-50;0
23997;-15;-50;0
24006;-15;-50;0
24012;-16;-50;0
24018;-16;-50;0
24024;-16;-50;0
