tiempo;angulo;tiempoDev;derivada
20592;136;9;44
20601;137;6;66
20607;138;6;66
20613;138;11;27
20625;139;9;44
20631;140;9;44
20637;140;15;26
20643;141;10;30
20649;141;10;30
20652;141;10;30
20658;142;15;26
20664;142;15;26
20670;143;9;33
20679;143;9;33
20685;144;16;18
20691;145;16;18
20697;145;9;44
20703;145;9;44
20709;146;17;17
20715;146;17;17
20724;147;10;30
20730;147;10;30
20736;148;10;30
20742;148;19;15
20748;149;8;37
20754;149;8;37
20760;150;13;23
20766;151;13;23
20772;151;9;33
20781;151;9;33
20787;152;19;15
20793;153;19;15
20799;153;8;37
20805;153;8;37
20811;153;8;37
20817;154;21;14
20826;155;21;14
20832;155;11;27
20838;155;11;27
20844;156;16;12
20850;157;7;42
20856;157;7;42
20862;157;7;42
20871;158;17;17
20883;159;11;18
20889;159;11;18
20895;160;17;17
20901;160;17;17
20907;161;11;18
20910;161;11;18
20916;161;11;18
20922;161;11;18
20928;162;21;9
20937;162;21;9
20943;163;13;23
20949;163;13;23
20955;163;13;23
20961;163;13;23
20967;164;23;8
20973;165;11;18
20979;165;11;18
20985;165;11;18
20991;166;11;18
20997;166;18;11
21006;167;9;22
21012;167;9;22
21018;167;9;22
21024;167;9;22
21030;167;9;22
21036;167;9;22
21045;167;9;22
21051;167;9;22
21057;167;9;22
21063;167;9;22
21069;167;9;22
21075;167;9;22
21081;167;9;22
21087;167;9;22
21093;167;9;22
21099;167;9;22
21105;167;9;22
21111;167;9;22
21117;167;9;22
21123;167;9;22
21129;167;9;22
21135;167;9;22
21141;167;9;22
21150;167;9;22
21156;167;9;22
21162;167;9;22
21168;167;9;22
21174;167;9;22
21180;167;9;22
21186;167;9;22
21192;168;191;1
21198;168;191;1
21207;168;191;1
21213;168;191;1
21219;168;191;1
21225;168;191;1
21231;168;191;1
21237;168;191;1
21243;168;191;1
21249;168;191;1
21255;168;191;1
21261;168;191;1
21267;168;191;1
21273;168;191;1
21279;168;191;1
21285;168;191;1
21291;168;191;1
21297;169;104;1
21303;169;104;1
21309;169;104;1
21318;169;104;1
21324;169;104;1
21330;169;104;1
21336;169;104;1
21342;169;104;1
21348;169;104;1
21354;169;104;1
21363;169;104;1
21369;169;104;1
21375;169;104;1
21381;169;104;1
21387;169;104;1
21393;169;104;1
21399;169;104;1
21408;169;104;1
21414;169;104;1
21420;169;104;1
21426;169;104;1
21432;169;104;1
21435;169;104;1
21441;169;104;1
21447;169;104;1
