tiempo;error;integral;derivada;setPoint
20520;-3;-1499;0;1020;
20526;-3;-1499;0;1020;
20532;-3;-1499;0;1020;
20538;-3;-1499;0;1020;
20544;-3;-1499;0;1020;
20550;-3;-1499;0;1020;
20556;-3;-1499;0;1020;
20562;-3;-1499;0;1020;
20568;-3;-1499;0;1020;
20574;-3;-1499;0;1020;
20580;-3;-1499;0;1020;
20586;-3;-1499;0;1020;
20592;-3;-1499;0;1020;
20598;-3;-1499;0;1020;
20604;-3;-1499;0;1020;
20610;-3;-1499;0;1020;
20616;-3;-1499;0;1020;
20622;-3;-1499;0;1020;
20628;-3;-1499;0;1020;
20634;-3;-1499;0;1020;
20640;-3;-1499;0;1020;
20646;-3;-1499;0;1020;
20652;-3;-1499;0;1020;
20658;-3;-1499;0;1020;
20664;-3;-1499;0;1020;
20670;-3;-1499;0;1020;
20676;-3;-1499;0;1020;
20682;-3;-1499;0;1020;
20688;-3;-1499;0;1020;
20694;-3;-1499;0;1020;
20700;-3;-1499;0;1020;
20706;-3;-1499;0;1020;
20712;-3;-1499;0;1020;
20718;-3;-1499;0;1020;
20724;-3;-1499;0;1020;
20730;-3;-1499;0;1020;
20736;-3;-1499;0;1020;
20742;-3;-1499;0;1020;
20748;-3;-1499;0;1020;
20754;-3;-1499;0;1020;
20760;-3;-1499;0;1020;
20766;-3;-1499;0;1020;
20772;-3;-1499;0;1020;
20778;-3;-1499;0;1020;
20784;-3;-1499;0;1020;
20790;-3;-1499;0;1020;
20796;-3;-1499;0;1020;
20802;-3;-1499;0;1020;
20808;-3;-1499;0;1020;
20814;-3;-1499;0;1020;
20820;-3;-1499;0;1020;
20826;-3;-1499;0;1020;
20832;-3;-1499;0;1020;
20838;-3;-1499;0;1020;
20844;-3;-1499;0;1020;
20850;-3;-1499;0;1020;
20856;-3;-1499;0;1020;
20862;-3;-1499;0;1020;
20868;-3;-1499;0;1020;
20874;-3;-1499;0;1020;
20880;-3;-1499;0;1020;
20886;-3;-1499;0;1020;
20892;-3;-1499;0;1020;
20898;-3;-1499;0;1020;
20904;-3;-1499;0;1020;
20910;-3;-1499;0;1020;
20916;-3;-1499;0;1020;
20922;-3;-1499;0;1020;
20928;-3;-1499;0;1020;
20934;-3;-1499;0;1020;
20940;-3;-1499;0;1020;
20946;-3;-1499;0;1020;
20952;-3;-1499;0;1020;
20961;-3;-1499;0;1020;
20967;-3;-1499;0;1020;
20973;-3;-1499;0;1020;
20982;-3;-1499;0;1020;
20988;-3;-1499;0;1020;
20994;-3;-1499;0;1020;
21000;-3;-1499;0;1020;
21006;-3;-1499;0;1020;
21012;-3;-1499;0;1020;
21018;-3;-1499;0;1020;
21024;-3;-1499;0;1020;
21030;-3;-1499;0;1020;
21036;-3;-1499;0;1020;
21042;-3;-1499;0;1020;
21048;-3;-1499;0;1020;
21054;-3;-1499;0;1020;
21060;-3;-1499;0;1020;
21066;-3;-1499;0;1020;
21072;-3;-1499;0;1020;
21078;-3;-1499;0;1020;
21084;-3;-1499;0;1020;
21090;-3;-1499;0;1020;
21096;-3;-1499;0;1020;
21102;-3;-1499;0;1020;
21108;-3;-1499;0;1020;
21114;-3;-1499;0;1020;
21120;-3;-1499;0;1020;
21126;-3;-1499;0;1020;
21132;-3;-1499;0;1020;
21138;-3;-1499;0;1020;
21144;-3;-1499;0;1020;
21150;-3;-1499;0;1020;
21156;-3;-1499;0;1020;
21162;-3;-1499;0;1020;
21168;-3;-1499;0;1020;
21174;-3;-1499;0;1020;
