 T0000953875 A-00033 V+00236 d00236 
 T0000955782 A-00026 V+00374 d00374 
 T0000957436 A-00019 V+00273 d00273 
 T0000959368 A-00011 V+00240 d00240 
 T0000961094 A-00004 V+00274 d00274 
 T0000962797 A+00003 V+00221 d00221 
T0000964597 A+00010 V+00440 d00440 
 T0000966377 A+00017 V+00244 d00244 
T0000968152 A+00023 V+00213 d00213 
T0000969954 A+00028 V+00499 d00499 
 T0000972157 A+00031 V+00735 d00735 
 T0000973936 A+00034 V+00728 d00728 
 T0000975387 A+00038 V+00576 d00576 
 T0000977500 A+00043 V+00387 d00387 
 T0000986323 A+00042 V-08823 d08823 
 T0000986716 A+00041 V-00393 d00393 
 T0000987528 A+00040 V-00812 d00812 
 T0000987798 A+00039 V-00270 d00270 
 T0000988403 A+00038 V-00605 d00605 
 T0000988657 A+00037 V-00254 d00254 
 T0000990355 A+00035 V-00580 d00580 
 T0000991807 A+00032 V-00590 d00590 
 T0000993764 A+00024 V-00387 d00387 
 T0000995444 A+00018 V-00364 d00364 
 T0000997189 A+00014 V-00483 d00483 
 T0000999090 A+00008 V-00404 d00404 
 T0001000923 A+00000 V-00376 d00376 
 T0001002691 A-00007 V-00230 d00230 
 T0001004389 A-00012 V-00457 d00457 
 T0001006214 A-00019 V-00224 d00224 
 T0001008102 A-00026 V-00309 d00309 
 T0001010005 A-00032 V-00518 d00518 
 T0001011829 A-00037 V-00322 d00322 
 T0001013689 A-00042 V-00409 d00409 
 T0001015266 A-00046 V-00430 d00430 
 T0001017145 A-00049 V-00783 d00783 
 T0001019332 A-00052 V-00863 d00863 
 T0001021371 A-00055 V-00755 d00755 
 T0001026549 A-00054 V+05178 d05178 
 T0001027896 A-00053 V+01347 d01347 
 T0001029151 A-00052 V+01255 d01255 
 T0001029572 A-00051 V+00421 d00421 
 T0001030286 A-00050 V+00714 d00714 
 T0001031697 A-00047 V+00477 d00477 
 T0001033641 A-00044 V+00664 d00664 
 T0001035382 A-00040 V+00433 d00433 
 T0001037072 A-00035 V+00300 d00300 
 T0001038951 A-00030 V+00554 d00554 
 T0001040903 A-00024 V+00390 d00390 
 T0001042411 A-00019 V+00330 d00330 
T0001044164 A-00013 V+00237 d00237 
T0001046345 A-00006 V+00508 d00508 
 T0001047733 A-00001 V+00203 d00203 
T0001049790 A+00006 V+00429 d00429 
 T0001051394 A+00011 V+00285 d00285 
 T0001053208 A+00016 V+00383 d00383 
 T0001054933 A+00021 V+00296 d00296 
T0001057475 A+00026 V+00816 d00816 
 T0001058723 A+00029 V+00330 d00330 
 T0001061016 A+00032 V+00958 d00958 
 T0001065023 A+00034 V+03426 d03426 
 T0001072959 A+00033 V-07936 d07936 
 T0001074048 A+00032 V-01089 d01089 
 T0001074212 A+00031 V-00164 d00164 
 T0001074565 A+00030 V-00353 d00353 
 T0001074688 A+00029 V-00123 d00123 
 T0001075169 A+00028 V-00481 d00481 
 T0001075228 A+00027 V-00059 d00059 
 T0001076904 A+00023 V-00458 d00458 
 T0001078762 A+00020 V-00911 d00911 
 T0001080519 A+00016 V-00645 d00645 
 T0001082070 A+00011 V-00293 d00293 
 T0001083882 A+00005 V-00304 d00304 
 T0001086190 A+00000 V-00642 d00642 
 T0001087628 A-00005 V-00242 d00242 
 T0001089571 A-00012 V-00433 d00433 
 T0001091341 A-00017 V-00454 d00454 
 T0001093001 A-00021 V-00391 d00391 
 T0001094761 A-00027 V-00233 d00233 
 T0001096588 A-00032 V-00583 d00583 
 T0001098832 A-00036 V-00896 d00896 
 T0001100249 A-00039 V-00442 d00442 
 T0001102239 A-00043 V-00503 d00503 
 T0001103915 A-00045 V-00631 d00631 
 T0001106016 A-00046 V-02101 d02101 
 T0001108619 A-00047 V-02603 d02603 
 T0001112251 A-00046 V+03632 d03632 
 T0001114209 A-00045 V+01958 d01958 
 T0001115204 A-00044 V+00995 d00995 
 T0001115460 A-00043 V+00256 d00256 
 T0001116710 A-00041 V+00488 d00488 
 T0001118753 A-00038 V+01039 d01039 
 T0001120017 A-00036 V+00697 d00697 
T0001122040 A-00031 V+00347 d00347 
 T0001123630 A-00027 V+00400 d00400 
 T0001125367 A-00023 V+00423 d00423 
T0001127402 A-00018 V+00464 d00464 
 T0001129056 A-00013 V+00267 d00267 
 T0001130898 A-00008 V+00422 d00422 
 T0001132627 A-00003 V+00270 d00270 
 T0001134444 A+00002 V+00558 d00558 
 T0001136372 A+00007 V+00437 d00437 
 T0001138323 A+00011 V+00351 d00351 
 T0001139895 A+00015 V+00276 d00276 
 T0001142307 A+00020 V+00717 d00717 
 T0001144036 A+00022 V+01319 d01319 
 T0001145668 A+00024 V+01107 d01107 
 T0001147295 A+00026 V+01198 d01198 
 T0001157751 A+00026 V-09919 d09919 
 T0001158275 A+00025 V-00524 d00524 
